Comment,Rating
"
За эти деньги лучше не найти!!!!!!Купил спонтанно так*как  Грессо за 90000 т Сломался в очередной раз.												",1
"
Невысокая стоимость при хорошем качестве!Два раза падал..не разбился!												",1
"
Ненашел												",0
"
дрянь а не смартфон батарея быстро садится  нужно два раза нажимать на ответ не прошло и двух лет как индикаторы самого смартфона и батареи сменили цвет на красный хотя в воде он не был села громкость звонившего  вообщем не советую												",0
"
нет												",1
"
полно												",0
"
Отличный телефон! купила когда только появился, у иже будет 5 лет в мае активного пользования. сейчас батарея пришла в негодность, садится на глазах, начал зависать, покупка новой батареи не спасла ситуацию, может батарейка хреновая, хотя вроде оригинал. в общем срочно нужно решать вопрос с... Читать полностью ",1
"
весь достоин												",1
"
после 3-4 лет. не найти батарею нормальную, родная умирает												",0
"
Отличный аппарат 4 год работает мне лично лучше и не надо												",1
"
Все устраивает												",1
"
отказал сканер отпечатка пальца но это понты все необходимое работает												",0
"
Первый Сони, из тех что юзал, с такой живучей батареей... Металлический корпус и сканер отпечатка в кнопке питания тоже порадовали... Ну а экран и камера - классика.												",1
"
Четкий и яркий экран 5,5 , хорошая камера, металлический корпус, неплохая оптимизация железо-аккумулятор (итог - 2 дня жизни без проблем), 32 гб своей памяти, возможность использовать 2 симки и карту памяти одновременно и без тормозов...												",1
"
Пока не выявлены...												",0
"
Полностью разочарован.... Выкину после ремонта нокиа 6303!!! Не проработано программное обеспечение вообще!!! Ощущение- как будто напихали всякой хрени для обезьяны!!! Не покупайте этот выкидыш!!!!												",0
"
НЕТ!!!! есть одно- замена на время телефона, который вышел из строя!!!!
В топку!!! Мож тепла немного выделит!!!												",1
"
1. Опера не открывает ссылки на сайтах (большинстве), вылетает на ту же страницу, изменяя масштаб!!! 2. Календарь не приспособлен для напоминания о днях рождений- ВСЕГО 25 напоминаний можно забить!!!!!!! Ужас!!! 3. Фонарик- да зачем он!! Вот фотовспышку бы!!! 4. Через ПО компании... Читать полностью ",0
"
Взял по вроде не плохим параметрам: батарея, камера, 4G, 1ГБ оперативки. До этого имел опыт эксплуатации девайсов марки престижио и в принципе был хорошего мнения о них. Но этот аппарат совсем меня как то растроил всем, чем только можно. Да аккум держит подольше моего прежнего алкателя, но не... Читать полностью ",0
"
Громкость динамика												",1
"
В описании												",0
"
В режиме ожидания разряд идёт примерно 3-4% в час.То есть максимум - 33 часа.Откуда они взяли 657 часов в режиме ожидания? В режиме работы 15 часов тоже нет.Мне полного заряда хватило на 7,5 часов (разговор,игры,режим ожидания) . Соблазнился заявленными хорошими характеристиками и купил.Теперь жалею... Читать полностью ",0
"
лёгкий,недорогой												",1
"
Очень слабый аккумулятор												",0
"
Отзыв для тех, кто рассматривает покупку Samsung Galaxy S7- не рекомендую. Этот смартфон купила на замену Explay X-tremer (который работает уже более 4-х лет без всяких нареканий, 4-5 раз падал и ничего! не сбоев, ни трещин, просто чуть поцарапался). По функционалу особых различий между смартфонами... Читать полностью ",0
"
Неплохая камера												",1
"
Цена не соответствует качеству и недолговечности												",0
"
Что ж...Нокиа есть нокиа.Симбиан меня лично не разочаровал.Системка старенькая конечно,но не дохлая.Фото на высоте,видео тоже.знакомые не верили что он так может.У одного Айфон 6-в сравнение не идёт.На нокиа картинка сочнее и чётче.Корпус алюминиевый,держа в руке чувствуешь что мужик)))												",1
"
Камера,сборка,экран Горилла,HD,звук.												",1
"
Батарейка,проц слаб.												",0
"
приобрел в 2014 году. я его и ранял и в воде он побывал но до сих пор работает												",1
"
хорошая камера, экран сильный динамик отличный, хорошие функции												",1
"
недостаток это его батарея быстро разрежаеться												",0
"
Купил аппарат в ДНС. На вид крепкий, водонепроницаемый. не тяжёлый , но это только наверное благодаря  не очень ёмкой батареи 2000мА.												",0
"
Водонепроницаим  ИП 68. но не пробовал пока. Ударопрочный (то же не пробовал)												",1
"
Телефон ЗАГАДКА! Написано про фонарик, но включить его так и не удалось. И что самое интересное в инструкции процесс включения НЕ УКАЗАН ВООБЩЕ! (перенажимал наверное всё, но включить так и не смог. Закралось подозрение что светодиод муляжный, так как при фотографировании в темноте он не загорается... Читать полностью ",0
"
Аппарат в целом неплохой, мало уступающий более дорогим флагманам.  Отмечу один недостаток, который явился для меня очень неприятным сюрпризом - смартфор невозможно подключить к телевизору, чтобы просто использовать его как флешку. На свой более старый аппарат я скачивал фильмы, без проблем... Читать полностью ",1
"
Хороший функционал, дисплей, камера, быстродействие, цена												",1
"
Нельзя подключить к телевизору												",0
"
Это был первый мой смарт. Его я выбирал тщательнее ,чем жену. Было проштудировано много сайтов и отзывов, выбраны нужные мне параметры. И вот бездушный яндекс маркет выдал мне это чудо с ещё каким то хламом. Да. Это была любовь с первого взгляда. Этот огромный сочный экран, шустрая не глючная... Читать полностью ",1
"
ВСЁ У НЕГО ДОСТОИНСТВА.												",1
"
самый главный недостаток это то , что этот тел не достать не где. Люди добрые подскажите где купить сей агрегат. Новый												",0
"
Купил спонтанно , зашёл в диксис и купил. Загрузил своими приложениями типа сбербанк, али, авито, ну и пр. .Всё идёт без проблем. Сам я считаю , играть на смартах, это извращение, но решил потестить на игрушках; короче, загружал гонки типа реал рейсинг, мотогонки, шутеры....И, с...ка, всё идёт без... Читать полностью ",1
"
Да всё-достоинства....												",1
"
Батарея маловата. При моём пользовании(немного звонков, интернета) на пару дней.												",0
"
 Неплохой аппарат.					 ",1
"
 Покупал не для себя, но телефон всегда перед глазами. Недорогой.Есть все что требуется. Удобно лежит в руке. Очень долгий разряд аккумулятора.					 ",1
"
 Сенсорные кнопки не подсвечиваются.Заглушка сим-карты вначале неплотно встала, по мере того как теребили пальцем неделю стало почти незаметно. Обратил внимание,что за все время ни разу не увидел иконки 4G,хотя аппарат лежал со своим братом note 4,на котором такая иконка почти всегда есть (возможно... Читать полностью  ",0
"
 Через 2 месяца использования просто умер!сделал по гарантии .сказали что сдохли мозги!не ожидал такого от телефона за 20 тысяч					 ",0
"
 Громкий звук,хорошая связь,батарея 					 ",1
"
 Камера так себе					 ",0
"
 Смартфон смотрится очень дорого и стильно. Очень впечатлила портретная камера. Своих денег ещё как стоит					 ",1
"
 Экран, камера+камера, дизайн, чистый андроид, производительность.					 ",1
"
 Скользковат. После небольшого падения появилась трещинка на верхней части передней панели возле камеры по диагонали 15 мм., поцарапался экран. Горилла глас под сомнением.					 ",0
"
 хороший телефон простой надежный					 ",1
"
 модель хорошая прослужила мне 5 лет потом начались проблемы наверно от старости 					 ",1
"
 камера слабовата					 ",0
"
 Купил 2017 год 5 декабря город краснодар мегафон салон за 8500 рублей . За такие деньги нормально телефон , хороший рабочий лошадка , если благо комната чуть помочь не было бы лучше ну вобщем я довольна своим покупки . Всем советую покупать ета смартфон , за такие деньги вы ничего не найдете лучше .... Читать полностью  ",1
"
 Хорошие экран , неплохая камера , хороший профессор , 4 G LTE .					 ",1
"
 Аккумулятор 2600 ампер , не очень красивый дизайн , мало память 16 гигабайт .					 ",0
"
 Использую два телефона ноут 8 и айфон чтобы определиться какой лучше подходит.очень сложно привыкнуть к андроиду после ios.на айфоне все быстрее и того же результата можно добиться намного быстрее.жду модели с более большим экраном					 ",1
"
 Спикеры идеального качества.операционная система которая контролируется за счёт жестов а не кнопками как на андроиде(имеется Samsung note 8 ).быстрый и отзывчивый					 ",1
"
 Рамки вокруг экрана. Маленькая Ширина экрана. Нет live wallpapers как на pixel 2(можно скачать на андроид не дожидаясь 8 версии).кажется что заряжается медленнее чем note 8 и батарея не так долго держится(не засекал по времени)					 ",0
"
 Куплен за 15.1 т.р. на BengGood. Это лучше соотношение цена/качество. Конкурентов этому смартфону при такой цене нет. 					 ",1
"
 Удобный размер, отличный экран и сенсор, одна из лучших камер со множеством функций, фирменная оболочка, поддержка и ОТА обновления до MIUI 9, хорошая автономость, чистый и громкий звук при разговоре, вызывном звонке. Высокое качество воспроизведения музыки. ANTUTU больше чем у Samsung s7 edge,... Читать полностью  ",1
"
 Нет. 					 ",0
"
 Классный телефон. Вот только цена, на мой взгляд, завышена. Будет работать, главное не ронять и детям не давать...					 ",1
"
 Дизайн, работоспособность, размер... Все устраивает.  					 ",1
"
 За 5 месяцев эксплуатации недостатков не заметил. 					 ",0
"
 На 4 балла					 ",0
"
 Все устраивает					 ",1
"
 Быстрая разрядка и нет Fm радио					 ",0
"
 И все-таки за эту цену неплохой аппарат. На моей работе другой телефон не выдержит физических нагрузок, поэтому спасибо, что производители не отказались от выпуска раскладушек. До этого у меня был Самсунг, но и стоил он в два раза дороже.Немного доработать контакты, динамик и усилить аккумулятор - и... Читать полностью  ",1
"
 Красивый. Второй дисплей, который информирует о непринятых вызовах и сообщениях. Регулировка громкости выведена на боковую панель. Простое меню. Крупные выпуклые цифры, удобный джойстик. Кнопки быстрого набора. При наборе номера высвечиваются огромные цифры, которые видно без очков. Можно настроить... Читать полностью  ",1
"
 Слабый динамик, приходится прислушиваться, хотя у меня хороший слух. С учетом подсветки второго дисплея производителю надо было поставить более мощный аккумулятор, заряжаю каждый день. Невозможно увеличить цифры даты и времени на дисплее, без очков не вижу. На один контакт можно записать только один... Читать полностью  ",0
"
 в общем и целом приобретение радует, за исключением указанных недостатков					 ",1
"
 хорошее быстродействие, красивый дизайн,  батареи хватает на день при активном использовании, двойная тыльная камера с двойной вспышкой, большой экран, быстрый считыватель отпечатка, тонкий корпус, второй экран - показывающий время и погоду, с возможностью ответить на входящий					 ",1
"
 нет сертификации GOOGLE, нет андройд пэй, не нашел чехол учитывающий наличие тыльного дисплея с окном позволяющим отвечать на вызов не открывая чехла					 ",0
"
 Телефон для звонков и наслаждения качественным звуком.					 ",1
"
 Звук ,автономность .					 ",1
"
 Интерфейс плеера 					 ",0
"
 В общем вообще не жалею что являюсь представителем этой модели. И всем советую, берите по больше памяти, чем больше тем лучше.					 ",1
"
 Meizu m3 note Хорошо держит зарядку, быстро заряжается, качественный экран, приятный на ощупь, поход на айфон, многие путают, от браузера просто в восторге, пользуемся только им.					 ",1
"
 Нет стабилизации камеры, приходится снимать несколько фото за раз, качество динамика так себе,					 ",0
"
 На текущий момент рынок нечего лучше предложить не может из ряда маленьких телефоном, которые удобно лежат в руке, при этом сохраняя критерии цена/качество!! Вообщем я доволен					 ",1
"
 Компактность, производительность, Камера, Apple Pay, 					 ",1
"
 Хотелось бы больше батарею, но как реалист понимаю что в 4 дюймовый смартфон запихать ее не возможно					 ",0
"
 Все испортилa iOS 11 					 ",1
"
 Стереодинамики, водонепроницаемость					 ",1
"
 Нет разъёма для наушников, операционная система IOS11, батарея 					 ",0
"
 Я влюбилась в этот аппарат с первого дня использования!  Раньше я никогда не задумывалась, один пятидюймовый аппарат лежал в руке неудобно, и я решила, что это просто размер экрана не мой, и чуть не отказалась от всех телефонов с таким экраном. Redmi 4x лег в мою ладошку приятной тяжестью и... Читать полностью  ",1
"
 Соотношение Цена-Характеристики, доступность
Быстродействие
Современный девайс
 ",1
"
 Царапается экран					 ",0
"
 Аппарат был со мною в воде два раза
один разок доставал его с трех метровой глубины, откачивая воду в колодце в течении 40 минут..
выжил трудяга.					 ",1
"
 Отличный телефончик со всеми вытекающими  
компактный
удобный
достаточно быстрый
как верный друг
был со мною в воде два раза,					 ",1
"
 нет					 ",0
"
 Собственно смартфон отличный и в полной мере оправдывает свою стоимость. Да и более-менее хороший смартфон дешевле 5-7тс не приобрести. При грамотном и умелом использовании проблем с ним не будет.					 ",1
"
 Удобный и быстрый.					 ",1
"
 Нареканий нет.					 ",0
"
 Отличный смартфон					 ",1
"
 Аккумулятор, камера, дисплей, процессор, дизайн					 ",1
"
 Отсутствие NFC					 ",0
"
 Но до сих пор хорошо работает					 ",0
"
 Камера неплоха, 20 мегапикселей+лазерный фокус					 ",1
"
 Глючный, перевод с косяками, русского в настройках до сих пор нет					 ",0
"
 Замечательно					 ",1
"
 Очень много. Одним словом - очевидный баланс Цена-Качество.					 ",1
"
 С моей точки зрения - совмещённый слот под Сим-карту и карту памяти. Хотелось бы иметь и 2 Симки и расширять память. 					 ",0
"
 связь хорошая, и приложения и игры устанавливается легко и работает отлично					 ",1
"
 Заряд аккумулятора надолго хватает, камера хорошая, шустрый, ползуюсь уже 1,5 года. Хороший телефон					 ",1
"
 пока нет					 ",0
"
 Довольна безгранично. Единственное, о чем жалею - надо было брать еще больше экран, s8+					 ",1
"
 Телефон стал моим надежным помощником в работе. Перешла на него после iphone 5s. Вначале было непривычно из-за новой ОС, большого экрана, но к этому быстро привыкла, буквально за пару дней. Батарейки хватает на целый день, хотя я телефон не выпускаю из рук.					 ",1
"
 Через полгода с экрана начало стираться олеофобное покрытие, видны полоски. 					 ",0
"
 Наконец они сделали это, поставили андроид, телефон просто огонь если нет заводского брака, пользуюсь три месяца нариканий мало. Правда при авто подсветки на солнце экран через чур насыщается ну это не проблема если поставить ручные настройки яркости, батарейкой восхищаюсь заряжается за два часа от... Читать полностью  ",1
"
 Камера, дизайн,батарея,производительность, звук внешний, две сим карты, отдельно слот микро сд. 					 ",1
"
 Когда экран влажный откликается без моего участия, звук в наушниках, не съёмная батарейка. Нету аксессуаров, (заказывал "" аллиэкспресс"")					 ",0
"
Всегда был предан самсунгу, отдал за него 19 000 р. Радовал год, но потом начались проблемы.												",0
"
+Хороший дизайн, приятно лежит в руке
+Не плохая камера
+Много доступных приложений												",1
"
-Через год начал тормозить
-Плохо держит заряд
-Сильно греется аккумулятор на зарядке, в итоге вспучился акб оттопырив заднюю панель(( разумеется гарантия на него уже кончилась..
-Завышенная цена												",0
"
 хороший кнопочник однозначно удобнее. а в качестве плеера фотоаппарата или планшета - любой смартфон неудобен. 					 ",1
"
 долгая батарейка..мне хватает на неделю.					 ",1
"
 отвратительная камера.сенсорный экран слегка тупит.					 ",0
"
 Отличный аппарат, кто пользовался сони не разочаруются.Когда он в руке маешь вещь!!! 					 ",1
"
 Отличный экран (441ppi)два стерео динамика на лицевой стороне, шустрый,не боится воды и пыли (влагостойкость в моем понятии пользоваться под дождём или по неосторожности уронить в воду а не топить его в море или озере)обновился до 8 андройда,хорошая 23мп камера,64гб встроенной памяти +слот до... Читать полностью  ",1
"
 Аккумулятор можно было и мощнее,но не критично 					 ",0
"
 пока смарт 3-й день с функционалом, который я ему даю справляется,но чудесное впечатление немножко подпорчено посмотрим,что будет дальше сколько проработает какие еще нежданчики будут					 ",0
"
 за такие деньги хороший аппарат, выглядит дорого, нормально фотографирует, справляется с играми и музука тоже устроет если не супер меломан					 ",1
"
 все что написал Сергей правда не все программы работают, гугл меп у меня тоже не работает и есть не совсем коректная работа видео если его сразу открываешь в полноформатный режим в горизонтальном положении растягивает видео и так и остается впринципе при перевороте экрана в вертикальное положение, а... Читать полностью  ",0
"
 Очень хорошие.					 ",1
"
 Неделю назад утопил в ванной, высушил в рисе - всё работает!					 ",1
"
 Месяц использования - недостатков нет.					 ",0
"
 лучший телефон от самсунг					 ",1
"
 экран(лучший на рынке.)камера,дизайн,2 симкарты и карта памяти,цена/качество ,сканер отпечатка привык быстро не знаю почему все жалуются					 ",1
"
 нельзя установить 2 симки и карту памяти одновременно,бывают изредка глюки при записи видео(картинка подтормаживает)настройки некоторые сбивались,но по моему опвту глюки бывают везде					 ",0
"
 В целом аппарат хороший, но на моём экземпляре стало отходить стекло в верхней части экрана, после года эксплуатации, само по себе, еще какая то слабая антенна, то и дело теряется связь.					 ",0
"
 Большой экран, хорошая производительность, перо S pen - очень удобно пользоваться  для заметок,  стильный внешний вид, тянет любые игры, солидный.					 ",1
"
 Не съемный аккумулятор, слабо держит заряд, стеклянная панель, высокая цена (на момент выхода), мало памяти и ее невозможно расширить.					 ",0
"
 ОК					 ",1
"
 8 часов съёмки в аквапарке в Дубае выдержал. Думал сдохнет, даже с горок с ним летал и снимал. Работает.					 ",1
"
 Батарея					 ",0
"
 Пользуюсь телефоном пол месяца, по началу конечно жалел о покупке, особенно на фоне того, что в конкурентном магазине цена упала до 43000, но далее хорошие положительные впечатления закрасили жабу. Дизайн отличный, телефон выглядит очень оригинально и красиво, иногда берешь в руки и понимаешь что... Читать полностью  ",1
"
 -Дизайн
-Много фишек
-Хороший Звук
- Невероятная и напичканная всякими опциями камера 
- Возможность кастомизировать путем смены оформления 
 ",1
"
 - что бы там не говорили производители все таки для такого аппарата слабенькая батарея (3500 было бы достаточно)
- качели громкости слева, а не справа
 ",0
"
 Выбирал телефон не обращая внимания на цену, очень нужен был производительный телефон с емким аккумулятором. Невысокая цена пошла приятным бонусом.					 ",1
"
 Очень достойный аккумулятор, быстро работает, хорошо сидит в руке, легкий, MIUI -очень стабильная система. Прекрасно работает фирменное облако с гугловским диском не сравнить, синхронизируется без единого сбоя и потери.					 ",1
"
 Слабая камера, с айфоном или сонькой глупо сравнивать, особенно при недостаточном освещении. Идея совместить один из слотов симки со слотом ТФ странная. А если я хочу 2 симки и флешку одновременно. Не очень стабильно работает блютуз связь с фитнес браслетом от той же xiaomi постоянно пропадает (но... Читать полностью  ",0
"
 В общем нормально, но все же за эти деньги ожидаешь большего. Можно было бы установить стерео динамики, стабилизацию и нормальное ПО.
Телефон идеально подойдёт любителям делать селфи и быть постоянно в соцсети. 					 ",1
"
 Громкий звук - хороший динамик. Достойная отделка корпуса. Хороший экран. Хорошие камеры, прекрасный зум. Практически тянет любые игры. Отличная батарея, очень быстрая зарядка(правда только при родной зарядке) 					 ",1
"
 Нет обновления ПО, не все программы с плей маркета работают - особенно офисные, на максималке не все тянет, начинает лагать к примеру World of Tanks Blitz. Нет оптической стабилизации(, не идеально работает сканер отпечатков. 					 ",0
"
 Общие впечатления очень хорошие! Скоро буду брать 5Т					 ",1
"
 Быстрый, тонкий, стильный (имхо)...					 ",1
"
 После установки 8.0.0. стал подтормаживать чего на более ранней версии не случалось!!! Зависает экран... лечится блокировкой/разблокировки экрана...					 ",0
"
 После лет 10 сидения на топовых самсунгах (ещё были Сони и НТС), решил попробовать китайца. И очень доволен - реально очень. За 36 р (8-128), не глючный и с приятной оболочкой (мне больше нра чем у самсунга). У него есть то что мне надо и нет того, что не надо (например, безпроводной зарядки), уже 2... Читать полностью  ",1
"
 Быстрый. Очень быстрый. Всё работает так как должно и ожидаешь. Оболочка нравится. Сканер моментальный.  Батарея держит отлично.					 ",1
"
 Форма нравится, но скоьзковата - уже выпал. Но купил родной экран за 9 р и уже несколько месяцев все ок. Настроек камеры бы побольше. Влагозащищённость добавить.. но это так - если докапываться )					 ",0
"
 Это лучший телефон, который я держал в руках					 ",1
"
 Скорость работы, аккумулятор, обе камеры, динамик, экран - он просто лучший					 ",1
"
 За неделю использования не выявил					 ",0
"
 Впечатления положительные, если бы не сканер, камера, закрытость ios и отсутствие jailbreak'а для ios 10.3.x-11.1.x					 ",1
"
 Удобный формфактор, удобная и интуитивнопонятная ios, вполне бодро работает для своего возраста, достаточно хорошая производтельность и автономность, хотя у моего аппарата батарея уже одной ногой в могиле!					 ",1
"
 Отвратительный сканер отпечатков пальцев именуемый TouchID, после сканера в Galaxy S6 EDGE где сканер срабатывал максимум со второго раза, сканер айфона же срабатывает 2 раза из 40!!! И нет, дело не в грязи или влаге, дело в самом сканере, т.к если руки холодные или у вас снижена скорость... Читать полностью  ",0
"
 в общем хороший телефон за такие деньги					 ",1
"
 скорость, приложении, камеры, 					 ",1
"
 разьем питания шнура неудобен что бы подключить  у аифона удобнее хоть как вставляй, задняя крышка не удобна открывать, качество данамика желает оставлять лучшего, нету функции видео аудио записи когда разговариваешь по вацапу.					 ",0
